ID,latitudine,longitudine
1,41.1007081,15.4656446
2,41.10309,15.4615258
3,41.1047632,15.459314
4,41.1061281,15.4573942
5,41.0976666,15.4596524
6,41.101265,15.45788
7,41.1017418,15.4591759
8,41.1024322,15.4597209
9,41.1024379,15.4635394
10,41.1025609,15.4630953
11,41.102669,15.4625367
12,41.1026876,15.462645
13,41.1028722,15.4599518
14,41.1031099,15.4599525
15,41.1032534,15.4612704
16,41.1033026,15.4635184
17,41.1035504,15.463403
18,41.1035449,15.4623562
19,41.1038158,15.4626758
20,41.1040252,15.4617141
21,41.1040975,15.4622878
22,41.1041512,15.4606841
23,41.1043031,15.4613526
24,41.1043143,15.4609123
25,41.1044573,15.4615489
26,41.1044765,15.4611176
27,41.1045483,15.4617081
28,41.1046256,15.4613124
29,41.1046679,15.4594517
30,41.1047466,15.4614461
31,41.104919,15.4616085
32,41.1049425,15.4594964
33,41.1049984,15.4595953
34,41.1050558,15.4593258
35,41.1051613,15.4608942
36,41.1051519,15.4598026
37,41.105303,15.461094
38,41.1053073,15.4600128
39,41.1054569,15.4602157
40,41.1055113,15.4608457
41,41.1055589,15.460373
42,41.1057144,15.4605759
43,41.105842,15.4615366
44,41.1059162,15.4589637
45,41.1060984,15.458403
46,41.1062409,15.4612694
47,41.1064971,15.4603822
48,41.106966,15.4587338
49,41.1070701,15.4574005
50,41.0985988,15.4590003
51,41.0990416,15.4596076
52,41.099955,15.4597585
53,41.1014544,15.454976
54,41.1013315,15.4626144
55,41.1013495,15.4595746
56,41.1015782,15.4549413
57,41.1016492,15.4594497
58,41.1017719,15.4591987
59,41.1018825,15.4624605
60,41.1019439,15.4598214
61,41.1020108,15.4589698
62,41.1021567,15.4602459
63,41.1021726,15.4599131
64,41.1022696,15.4598297
65,41.1027815,15.4623555
66,41.0994019,15.4593401
67,41.1012085,15.4596437
68,41.1015945,15.4601594
69,41.101762,15.4598328
70,41.1019201,15.4587735
71,41.1019483,15.4614093
72,41.1019586,15.4563625
73,41.1020778,15.4616023
74,41.1021613,15.4599719
75,41.1021697,15.46107
76,41.1021797,15.4617785
77,41.1022758,15.4619638
78,41.1023176,15.4577277
79,41.1022956,15.4598129
80,41.10232,15.4613289
81,41.1023701,15.462151
82,41.1023793,15.4615019
83,41.102457,15.4617067
84,41.1024578,15.4571972
85,41.1025222,15.4623799
86,41.1026047,15.4618501
87,41.1026231,15.4581778
88,41.1026389,15.4568029
89,41.1026443,15.4577753
90,41.1026626,15.4571143
91,41.1027599,15.4599187
92,41.1032141,15.4612145
93,41.103317,15.4611904
94,41.1034623,15.4598238
95,41.1034683,15.4607214
96,41.1036246,15.4604897
97,41.1038451,15.4619392
98,41.103941,15.4601059
99,41.1041973,15.4600822
100,41.1042759,15.4620503
101,41.1043562,15.4598822
102,41.1043774,15.458463
103,41.1044368,15.4584192
104,41.1056154,15.4651748
105,41.0988512,15.4591941
106,41.1015529,15.4681363
107,41.1016162,15.4674422
108,41.1017028,15.4636536
109,41.102024,15.4670051
110,41.1020362,15.4635504
111,41.1022026,15.4624096
112,41.1022115,15.4607028
113,41.1022505,15.4647947
114,41.102497,15.4672527
115,41.1025705,15.4645766
116,41.1027861,15.4616704
117,41.1030062,15.461822
118,41.1031067,15.4619571
119,41.103359,15.4617335
120,41.10337,15.4656073
121,41.1034035,15.4652623
122,41.1036709,15.4629189
123,41.1036935,15.4641358
124,41.1037232,15.4644242
125,41.1044087,15.4591523
126,41.1029001,15.4599563
127,41.1010351,15.4564685
