node u,node v,length,label
1,110,281.54,1
4,49,104.88,1
9,10,39.68,1
9,113,111.56,1
10,12,40.34,1
11,65,19.67,1
12,11,9.31,1
14,95,77.79,1
15,93,9.74,1
16,9,99.03,1
16,115,131.25,1
17,16,29.29,1
20,97,27.51,1
20,100,39.63,1
21,19,45.15,1
22,24,26.35,1
23,20,43.28,1
24,26,24.92,1
26,28,23.27,1
26,23,27.57,1
27,100,41.71,1
30,27,31.11,1
30,104,336.62,1
32,33,10.36,1
32,3,25.12,1
33,36,24.35,1
33,22,131.37,1
34,32,19.05,1
35,30,65.3,1
35,37,22.99,1
36,38,24.67,1
38,39,23.79,1
38,26,130.78,1
39,41,17.39,1
41,35,62.14,1
41,42,24.25,1
45,48,107.23,1
46,47,126.84,1
49,45,137.87,1
50,5,122.36,1
53,56,14.89,1
54,68,211.27,1
57,60,46.19,1
58,61,32.77,1
59,111,35.87,1
62,54,220.41,1
64,79,3.22,1
65,117,51.48,1
68,69,33.1,1
71,73,109.21,1
74,2,169.79,1
75,71,37.8,1
76,73,18.61,1
77,76,18.88,1
77,59,60.62,1
79,8,17.03,1
80,75,27.46,1
81,77,18.87,1
83,77,29.5,1
89,90,55.44,1
91,92,124.69,1
93,99,134.92,1
95,126,115.98,1
96,95,26.06,1
97,18,48.32,1
98,96,47.71,1
99,101,24.35,1
100,21,28.1,1
101,94,104.11,1
103,102,7.56,1
107,106,97.56,1
108,1,303.51,1
109,114,56.54,1
109,107,58.5,1
110,11,114.56,1
113,109,188.18,1
115,121,131.8,1
117,2,26.51,1
118,119,33.74,1
121,123,108.48,1
122,17,42.72,1
123,124,24.39,1
123,17,64.1,1
29,94,140,1
94,14,31,1
14,126,26,1
126,13,5,1
13,91,17,1
91,8,42,1
79,92,157.84,1
69,60,21.19,1
4,3,225.15,1
103,4,264.24,1
7,6,193.08,1
58,7,3.85,1
107,10,384.46,1
19,18,40.31,1
122,19,26.28,1
25,23,23.76,1
23,24,57.9,1
27,25,16.74,1
45,34,163.73,1
24,36,131.65,1
40,37,31.13,1
28,39,130.34,1
44,45,51.28,1
51,50,71.38,1
105,51,40.89,1
52,51,102.38,1
67,52,140.74,1
50,53,495,1
57,55,378.45,1
7,57,25.15,1
64,58,78,1
112,62,41.04,1
60,63,28.42,1
63,64,12.85,1
68,67,72.42,1
55,69,50.73,1
78,70,99.31,1
73,71,109.21,1
62,74,24.35,1
59,76,84.56,1
84,78,48.36,1
73,80,35.36,1
86,81,36.35,1
76,82,32.09,1
80,82,16.18,1
82,83,19.43,1
90,84,26.54,1
72,84,99.7,1
65,85,28.91,1
83,86,20.56,1
116,86,25.29,1
89,87,33.81,1
91,87,164.78,1
56,88,205.3,1
78,89,36.55,1
88,90,26.23,1
92,93,11.62,1
21,97,40.51,1
99,98,28.64,1
96,98,47.71,1
87,103,217.34,1
111,108,126.57,1
108,110,39.07,1
85,111,35.63,1
75,112,31.21,1
116,112,103.61,1
2,116,38.13,1
118,117,15.91,1
12,118,92.31,1
120,121,31.46,1
18,122,55.26,1
53,127,405.66,1
8,79,17.03,1
92,93,11.62,1
93,99,134.92,1
99,101,24.35,1
101,29,50.03,1
60,57,46.19,1
57,55,378.45,1
55,69,50.73,1
18,122,55.26,1
114,109,56.54,1
117,118,15.91,1
43,46,51.32,1
46,43,51.32,1
67,55,16.71,1
55,67,16.71,1
21,100,28.1,1
17,16,29.29,1
102,103,7.56,1
7,58,3.85,1
37,35,22.99,1
11,12,9.31,1
86,83,20.56,1
25,27,16.74,1
70,78,99.31,1
85,81,25.57,1
81,85,25.57,1
39,38,23.79,1
51,105,40.89,1
74,63,5.09,1
63,74,5.09,1
90,84,26.54,1
5,50,122.36,1
52,66,76.18,1
66,52,76.18,1
82,80,16.18,1
97,20,27.51,1
79,64,3.22,1
8,79,17.03,1
124,123,24.39,1
125,13,191.19,1
13,125,191.19,1
87,91,164.78,1
87,89,33.81,1
90,89,55.44,1
84,90,26.54,1
84,72,99.7,1
61,58,32.77,1
58,7,3.85,1
121,120,31.46,1
93,15,9.74,1
10,9,39.68,1
106,107,97.56,1
113,115,40,1
115,113,40,1
110,108,39.07,1
27,30,31.11,1
27,25,16.74,1
25,28,27.26,1
28,25,27.26,1
31,37,60.68,1
37,31,60.68,1
37,40,31.13,1
45,44,51.28,1
48,45,107.23,1
89,87,33.81,1
42,41,24.25,1
95,96,26.06,1
119,118,33.74,1
118,117,15.91,1
117,2,26.51,1
2,116,38.13,1
54,59,81.1,1
59,54,81.1,1
111,59,35.87,1
3,4,225.15,1
3,32,25.12,1
32,34,19.05,1
34,32,19.05,1
34,46,216.83,1
46,34,216.83,1
47,46,126.84,1
36,33,24.35,1
127,53,405.66,1
71,75,37.8,1
75,112,31.21,1
112,75,31.21,1
112,62,41.04,1
69,68,33.1,1
60,57,46.19,1
57,7,25.15,1
7,57,25.15,1
6,7,193.08,1
117,65,51.48,1
2,117,26.51,1
2,15,28.21,1
15,2,28.21,1
15,22,117.3,1
22,15,117.3,1
98,99,28.64,1
99,101,24.35,1
101,99,24.35,1
101,29,50.03,1
29,101,50.03,1
29,3,15.67,1
3,29,15.67,1
104,30,336.62,1
30,27,31.11,1
100,27,41.71,1
100,21,28.1,1
19,21,45.15,1
126,13,5,1
13,91,17,1
94,14,31,1
69,60,21.19,1
