node u,node v,length,label
1,18,661.07,0
2,20,162.62,0
2,3,43.72,0
3,57,51.04,0
4,56,229.30,0
4,1,165.19,0
5,7,186.94,0
6,61,226.33,0
6,60,103.74,0
7,8,43.09,0
8,26,75.79,0
8,13,89.44,0
9,55,62.87,0
9,5,63.21,0
10,37,18.56,0
10,23,413.97,0
11,19,21.74,0
11,14,82.18,0
12,5,120.77,0
12,30,30.12,0
13,35,17.53,0
13,26,78.08,0
14,41,31.36,0
15,17,242.45,0
15,7,151.81,0
16,39,162.08,0
17,25,279.84,0
18,24,229.57,0
18,10,167.83,0
19,36,69.25,0
20,18,35.66,0
20,45,123.88,0
21,12,63.76,0
21,22,84.37,0
22,12,61.95,0
23,16,307.69,0
25,2,18.64,0
26,15,31.08,0
27,21,30.56,0
28,27,48.90,0
30,29,18.28,0
31,30,47.76,0
31,28,94.65,0
32,31,15.37,0
32,51,96.86,0
33,32,48.21,0
33,28,120.70,0
34,33,182.11,0
35,34,153.79,0
35,6,150.96,0
36,54,16.56,0
37,59,121.94,0
38,22,90.05,0
38,22,59.78,0
40,44,16.48,0
41,16,13.24,0
41,49,253.21,0
43,42,16.50,0
44,43,106.35,0
45,46,27.89,0
45,37,29.20,0
48,49,35.42,0
48,47,19.48,0
49,38,68.96,0
53,58,70.61,0
54,9,17.06,0
54,50,56.28,0
55,43,37.05,0
55,48,49.24,0
56,3,54.07,0
56,57,34.91,0
57,1,88.07,0
59,52,44.58,0
59,11,18.02,0
60,34,54.76,0
61,60,330.21,0
25,53,118.02,1
53,19,83.93,1
7,19,83.93,1
36,14,83.93,1
