ID,latitudine,longitudine
1,41.3753442,15.0979678
2,41.3739549,15.0968577
3,41.3742852,15.0971403
4,41.3767753,15.097563
5,41.3710004,15.094713
6,41.3741327,15.0917402
7,41.3726279,15.094426
8,41.3729975,15.0942709
9,41.3713437,15.0952619
10,41.3727595,15.0978208
11,41.3720893,15.096151
12,41.3708271,15.0932935
13,41.3732498,15.0932579
14,41.3714358,15.0963587
15,41.3738857,15.094196
16,41.371126,15.0966939
17,41.3757316,15.0945546
18,41.3739313,15.0990455
19,41.3721285,15.0958958
20,41.373778,15.0986702
21,41.3706558,15.0925971
22,41.3702998,15.0933759
23,41.3715259,15.1001811
24,41.374563,15.1014917
25,41.373822,15.0967216
26,41.3736527,15.0940205
27,41.3705197,15.0922789
28,41.3709193,15.0920341
29,41.3710402,15.0937183
30,41.3710426,15.0934998
31,41.3713026,15.0930455
32,41.371401,15.0929161
33,41.3716776,15.0924712
34,41.3729321,15.0912803
35,41.373296,15.093057
36,41.3715898,15.0954959
37,41.3726797,15.0976255
38,41.3701346,15.0939566
39,41.3708032,15.0983519
40,41.3713177,15.096261
41,41.3712059,15.0965763
42,41.3704913,15.0951846
43,41.3706347,15.0951523
44,41.3712114,15.0961432
45,41.3729354,15.0977031
46,41.3730825,15.0974324
47,41.3704307,15.0942967
48,41.3705167,15.0945001
49,41.3702478,15.0947276
50,41.371085,15.0952836
51,41.3717077,15.0940025
52,41.371966,15.0967753
53,41.3728549,15.0961652
54,41.3714692,15.0953794
55,41.3708736,15.0948434
56,41.3747682,15.097089
57,41.3746575,15.0974493
58,41.372525,15.0968345
59,41.372182,15.0963252
60,41.373381,15.0910107
61,41.3758635,15.0903127
