node u,node v,length,label
4,1,165.19,1
5,7,186.94,1
6,60,103.74,1
8,26,75.79,1
9,55,62.87,1
11,14,82.18,1
12,5,120.77,1
13,35,17.53,1
15,7,151.81,1
16,39,162.08,1
19,36,69.25,1
21,22,84.37,1
22,12,61.95,1
26,15,31.08,1
28,27,48.9,1
31,30,47.76,1
31,28,94.65,1
32,31,15.37,1
33,32,48.21,1
34,33,182.11,1
35,34,153.79,1
36,54,16.56,1
38,22,59.78,1
41,16,13.24,1
43,42,16.5,1
44,43,106.35,1
48,49,35.42,1
48,47,19.48,1
54,9,17.06,1
55,43,37.05,1
55,48,49.24,1
25,53,118.02,1
53,19,83.93,1
7,19,83.93,1
36,14,83.93,1
18,1,661.07,1
20,2,162.62,1
3,2,43.72,1
57,3,51.04,1
56,4,229.3,1
61,6,226.33,1
13,8,89.44,1
5,9,63.21,1
37,10,18.56,1
23,10,413.97,1
19,11,21.74,1
30,12,30.12,1
26,13,78.08,1
17,15,242.45,1
25,17,279.84,1
10,18,167.83,1
18,20,35.66,1
45,20,123.88,1
12,21,63.76,1
16,23,307.69,1
2,25,18.64,1
21,27,30.56,1
29,30,18.28,1
28,33,120.7,1
59,37,121.94,1
22,38,90.05,1
44,40,16.48,1
49,41,253.21,1
37,45,29.2,1
50,54,56.28,1
3,56,54.07,1
57,56,34.91,1
1,57,88.07,1
11,59,18.02,1
60,61,330.21,1
19,36,69.25,1
36,54,16.56,1
54,9,17.06,1
9,5,63.21,1
5,7,186.94,1
19,36,69.25,1
14,11,82.18,1
11,59,18.02,1
59,37,121.94,1
37,45,29.2,1
45,20,123.88,1
20,2,162.62,1
2,25,18.64,1
15,26,31.08,1
16,41,13.24,1
10,37,18.56,1
45,46,27.89,1
46,45,27.89,1
59,52,44.58,1
52,59,44.58,1
56,57,34.91,1
8,7,43.09,1
7,8,43.09,1
27,21,30.56,1
27,28,48.9,1
33,32,48.21,1
42,43,16.5,1
30,29,18.28,1
47,48,19.48,1
49,38,68.96,1
38,49,68.96,1
60,34,54.76,1
34,60,54.76,1
58,53,70.61,1
53,58,70.61,1
1,57,88.07,1
57,3,51.04,1
54,9,17.06,1
43,55,37.05,1
43,44,106.35,1
40,44,16.48,1
20,18,35.66,1
18,24,229.57,1
24,18,229.57,1
32,31,15.37,1
32,51,96.86,1
51,32,96.86,1
54,50,56.28,1
9,54,17.06,1
9,5,63.21,1
6,35,150.96,1
35,6,150.96,1
35,13,17.53,1
13,35,17.53,1
8,13,89.44,1
7,8,43.09,1
19,11,21.74,1
2,25,18.64,1
11,19,21.74,1
14,11,82.18,1
14,41,31.36,1
41,14,31.36,1
41,16,13.24,1
39,16,162.08,1
7,19,83.93,1
25,53,118.02,1
53,19,83.93,1
