ID,latitudine,longitudine
1,41.5295671,15.006829
2,41.5280294,15.0043
3,41.5279337,15.0043574
4,41.5276797,15.0042165
5,41.5266891,15.0039503
6,41.5257802,15.0038637
7,41.5183545,15.0090073
8,41.5318331,15.0043801
9,41.5250866,15.003865
10,41.5263908,15.0046097
11,41.5257934,15.0045353
12,41.5251443,15.0052077
13,41.5241691,15.0081704
14,41.5201369,15.0099267
15,41.5169008,15.0081094
16,41.5214035,15.0083526
17,41.5226727,15.0074529
18,41.5229467,15.0084346
19,41.5269526,15.0056279
20,41.5260542,15.0056464
21,41.5282943,15.0022309
