node u,node v,length,label
1,8,415.76,1
2,19,175.43,1
3,12,336.07,1
4,3,32.32,1
5,4,784.81,1
6,5,105.31,1
7,15,180.34,1
10,11,67.47,1
12,13,284.36,1
14,16,209.1,1
16,7,350.32,1
17,16,168.72,1
13,18,137.8,1
18,14,337.43,1
19,1,308.06,1
1,2,327.48,1
2,3,11.67,1
10,4,156.24,1
9,6,77.49,1
17,9,474.18,1
7,14,222.61,1
18,17,88.57,1
20,19,102.37,1
2,21,174.74,1
14,16,209.1,1
16,17,168.72,1
17,9,474.18,1
9,6,77.49,1
6,5,105.31,1
5,10,103.47,1
10,4,156.24,1
4,3,32.32,1
3,12,336.07,1
12,13,284.36,1
1,2,327.48,1
2,19,175.43,1
21,2,174.74,1
3,2,11.67,1
16,17,168.72,1
12,13,284.36,1
13,12,284.36,1
19,20,102.37,1
8,1,415.76,1
11,10,67.47,1
15,7,180.34,1
4,10,156.24,1
10,5,103.47,1
5,10,103.47,1
13,18,137.8,1
19,1,308.06,1
