node u,node v,length,label
1,10,498.01,0
2,4,468.98,0
3,12,649.45,0
3,5,318.69,0
4,3,356.88,0
4,29,78.65,0
6,13,358.34,0
7,16,145.76,0
7,33,154.60,0
9,7,273.30,0
9,8,204.44,0
10,14,412.66,0
11,10,230.88,0
13,15,110.94,0
14,31,120.50,0
14,2,418.99,0
15,32,3.49,0
16,11,194.60,0
17,19,48.22,0
18,17,249.92,0
18,17,216.88,0
20,18,89.68,0
21,11,373.29,0
23,22,83.71,0
23,34,55.78,0
25,23,85.36,0
25,24,82.91,0
27,26,88.23,0
27,28,254.12,0
29,30,92.19,0
29,27,26.15,0
30,21,147.85,0
30,25,16.99,0
31,16,216.76,0
32,9,106.58,0
20,15,190.00,0
6,21,450.00,1
15,31,180.00,1
