ID,latitudine,longitudine
1,41.1514203,15.3746185
2,41.153895,15.3795314
3,41.1501814,15.3822218
4,41.1508262,15.3822246
5,41.1516218,15.3838772
6,41.1526016,15.3810659
7,41.1500669,15.3781372
8,41.1505851,15.3780479
9,41.1522865,15.3773256
10,41.1507308,15.3758944
11,41.1494185,15.3780117
12,41.148655,15.3779745
13,41.1537595,15.3790155
14,41.1534674,15.3777764
15,41.1529699,15.3782763
16,41.1509295,15.3768732
17,41.1510946,15.3785382
18,41.1527295,15.3790813
19,41.150712,15.3787015
20,41.1525402,15.3800467
21,41.1500238,15.3800453
22,41.1507665,15.3811719
23,41.1502818,15.3804758
24,41.1503388,15.3803672
25,41.1509362,15.3809351
26,41.1497573,15.3808852
27,41.1504706,15.3810773
28,41.1484661,15.3796805
29,41.1505984,15.3813395
30,41.15108,15.3809834
31,41.152667,15.376828
32,41.1529477,15.3782469
33,41.1489235,15.3791521
34,41.1502408,15.3803197
