node u,node v,length,label
3,5,318.69,1
4,3,356.88,1
9,8,204.44,1
16,11,194.6,1
17,19,48.22,1
18,17,249.92,1
25,23,85.36,1
27,26,88.23,1
29,27,26.15,1
30,25,16.99,1
31,16,216.76,1
20,15,190,1
6,21,450,1
15,31,180,1
4,2,468.98,1
29,4,78.65,1
16,7,145.76,1
7,9,273.3,1
14,10,412.66,1
10,11,230.88,1
31,14,120.5,1
2,14,418.99,1
32,15,3.49,1
17,18,216.88,1
11,21,373.29,1
24,25,82.91,1
28,27,254.12,1
30,29,92.19,1
21,30,147.85,1
9,32,106.58,1
31,16,216.76,1
16,7,145.76,1
7,9,273.3,1
9,32,106.58,1
32,15,3.49,1
15,13,110.94,1
13,6,358.34,1
21,11,373.29,1
11,16,194.6,1
16,7,145.76,1
7,9,273.3,1
9,32,106.58,1
32,15,3.49,1
27,29,26.15,1
25,24,82.91,1
23,25,85.36,1
23,34,55.78,1
34,23,55.78,1
25,30,16.99,1
7,33,154.6,1
33,7,154.6,1
19,17,48.22,1
8,9,204.44,1
3,4,356.88,1
5,3,318.69,1
26,27,88.23,1
27,28,254.12,1
11,16,194.6,1
1,10,498.01,1
10,1,498.01,1
22,23,83.71,1
23,22,83.71,1
3,12,649.45,1
12,3,649.45,1
18,20,89.68,1
20,18,89.68,1
15,20,190,1
15,13,110.94,1
13,15,110.94,1
13,6,358.34,1
6,13,358.34,1
14,31,120.5,1
15,31,180,1
