node u,node v,length,label
1,9,75.65,0
3,4,138.01,0
4,81,14.95,0
4,130,16.37,0
6,142,371.57,0
7,137,8.21,0
8,42,166.70,0
8,43,163.69,0
9,2,179.31,0
11,85,61.11,0
11,86,26.63,0
12,132,293.41,0
12,19,156.81,0
13,98,8.09,0
13,94,65.51,0
14,172,51.71,0
16,57,31.19,0
18,95,85.72,0
18,92,63.69,0
20,1,204.20,0
20,9,101.73,0
22,159,52.16,0
22,9,199.80,0
23,22,85.00,0
25,139,131.01,0
26,25,24.28,0
27,151,5.32,0
28,35,115.77,0
30,26,22.58,0
30,32,34.11,0
31,41,272.73,0
32,26,80.36,0
33,25,274.46,0
34,150,4.84,0
35,38,101.35,0
36,32,96.53,0
36,30,67.88,0
37,36,21.95,0
37,40,184.82,0
38,149,4.23,0
39,154,6.84,0
40,162,50.10,0
41,148,6.33,0
42,20,224.39,0
43,21,153.23,0
43,42,36.32,0
45,46,40.29,0
45,15,43.55,0
50,48,24.12,0
50,136,60.44,0
52,51,13.67,0
52,50,74.97,0
54,56,80.99,0
58,52,81.32,0
58,53,32.09,0
60,55,49.12,0
60,62,83.97,0
61,58,58.11,0
62,63,25.76,0
62,65,49.76,0
64,60,80.48,0
65,66,11.32,0
66,67,12.45,0
67,65,37.76,0
68,73,53.72,0
69,72,13.54,0
69,67,44.28,0
70,66,52.97,0
71,69,9.83,0
72,71,23.37,0
73,71,11.56,0
74,73,21.95,0
75,72,22.70,0
76,78,35.11,0
76,74,16.91,0
77,74,34.93,0
79,76,60.07,0
81,80,36.57,0
81,84,76.70,0
86,82,53.75,0
86,5,38.59,0
88,83,79.10,0
89,173,24.94,0
95,173,89.75,0
98,18,17.99,0
98,93,63.37,0
100,13,23.00,0
100,96,145.13,0
101,99,97.65,0
101,100,91.83,0
102,138,188.60,0
103,10,101.19,0
104,106,61.45,0
108,124,63.52,0
113,125,265.16,0
114,116,14.69,0
114,109,184.50,0
115,110,125.28,0
115,114,16.01,0
117,115,9.57,0
117,120,92.09,0
118,117,11.02,0
118,111,139.95,0
120,8,34.05,0
122,8,46.88,0
123,121,20.65,0
123,119,38.30,0
124,123,23.90,0
124,122,115.61,0
126,120,277.77,0
129,128,75.45,0
130,145,235.53,0
131,3,78.41,0
132,131,21.84,0
133,130,346.69,0
136,49,17.09,0
136,47,50.55,0
137,122,41.01,0
137,118,23.03,0
138,19,39.35,0
139,24,24.10,0
139,140,108.40,0
141,144,139.04,0
142,133,80.20,0
142,143,50.29,0
145,146,24.83,0
145,141,49.01,0
146,127,47.27,0
150,155,167.94,0
151,171,106.98,0
152,153,4.34,0
153,155,104.30,0
155,40,118.21,0
156,31,24.39,0
157,159,109.01,0
158,161,22.77,0
159,160,47.96,0
159,158,89.75,0
160,35,117.01,0
160,158,40.27,0
162,164,56.15,0
162,166,30.08,0
164,167,30.92,0
164,163,32.51,0
165,163,134.30,0
166,168,41.88,0
166,167,56.81,0
167,169,41.82,0
168,169,57.75,0
168,165,89.07,0
169,165,30.26,0
170,171,59.40,0
171,37,62.86,0
172,11,21.72,0
172,174,14.26,0
173,14,2.69,0
174,89,30.51,0
174,175,28.72,0
176,133,39.10,0
23,135,30.00,0
24,135,30.00,0
135,134,17.00,0
134,147,10.00,0
135,147,17.00,0
90,89,21.00,0
175,90,31.00,0
95,90,74.00,0
175,87,24.00,0
11,87,43.00,0
87,88,22.00,0
88,15,22.00,0
45,44,146.00,0
15,92,80.00,0
92,93,20.00,0
93,94,20.00,0
94,54,40.00,0
56,99,36.00,0
99,16,22.00,0
16,61,35.00,0
61,10,15.00,0
103,102,10.00,0
108,107,70.00,0
107,106,18.00,0
106,113,120.00,0
113,112,80.00,0
112,103,85.00,0
10,64,80.00,0
64,70,110.00,0
70,75,50.00,0
75,77,50.00,0
77,78,19.00,0
78,79,23.00,0
76,68,55.00,0
68,59,175.00,0
105,119,35.00,0
119,7,10.00,0
17,101,45.00,0
130,129,52.60,1
129,127,254.05,1
80,5,254.05,1
5,83,254.05,1
83,44,254.05,1
44,48,254.05,1
48,176,254.05,1
176,51,254.05,1
51,55,254.05,1
55,59,254.05,1
59,6,254.05,1
6,7,254.05,1
107,104,47.84,1
104,79,47.84,1
79,105,47.84,1
112,64,82.27,1
19,97,64.83,1
97,91,107.97,1
97,96,16.99,1
96,91,83.09,1
91,14,31.51,1
28,29,31.51,1
29,156,31.51,1
156,2,37.80,1
2,28,37.80,1
41,39,37.80,1
39,38,37.80,1
38,152,37.80,1
152,34,37.80,1
34,27,37.80,1
27,157,37.80,1
157,147,37.80,1
134,151,37.80,1
151,150,37.80,1
150,153,37.80,1
153,149,37.80,1
149,154,329.19,1
154,148,329.19,1
