ID,latitudine,longitudine
1,41.3649869,15.3206648
2,41.3669664,15.3193507
3,41.3583738,15.3025696
4,41.358764,15.3041376
5,41.359098,15.3054988
6,41.3620145,15.3122597
7,41.3636276,15.3135111
8,41.3639843,15.3145598
9,41.3655023,15.3201069
10,41.3613367,15.3086875
11,41.3595188,15.3049824
12,41.3608385,15.304029
13,41.3609768,15.3066393
14,41.3600853,15.3045477
15,41.359939,15.3058869
16,41.3611438,15.3082837
17,41.3620564,15.3079122
18,41.36085,15.3063767
19,41.3610729,15.3058297
20,41.3652106,15.3189516
21,41.3656165,15.3176145
22,41.3660818,15.3223731
23,41.3663381,15.3233326
24,41.3665015,15.3239744
25,41.3669778,15.3257213
26,41.3671622,15.3255654
27,41.3671806,15.3230581
28,41.367275,15.3199975
29,41.3672841,15.319876
30,41.3673333,15.3254196
31,41.3674585,15.3197049
32,41.3675102,15.3257536
33,41.3676075,15.3288859
34,41.3677365,15.3226395
35,41.3678176,15.3211815
36,41.3678475,15.3249812
37,41.3680138,15.3248394
38,41.3682982,15.3222135
39,41.3691948,15.3214717
40,41.3693003,15.3245793
41,41.369663,15.321121
42,41.364509,15.3164305
43,41.3647639,15.3161736
44,41.3594518,15.3071702
45,41.3596085,15.3061669
46,41.3597345,15.3066195
47,41.3597699,15.3071231
48,41.3598519,15.3082756
49,41.359926,15.3076644
50,41.3600685,15.3082901
51,41.3602619,15.309185
52,41.360355,15.3090781
53,41.3606545,15.3088289
54,41.3607148,15.3075358
55,41.3607029,15.3099596
56,41.3608545,15.3077692
57,41.3609,15.3084685
58,41.3608974,15.3090037
59,41.3610052,15.3105987
60,41.361125,15.3099908
61,41.3612777,15.3085512
62,41.3614871,15.3106349
63,41.3616707,15.3104487
64,41.361757,15.3095569
65,41.3617898,15.311074
66,41.361869,15.311047
67,41.3619461,15.3111495
68,41.362045,15.3121167
69,41.362268,15.3114603
70,41.3622764,15.3107282
71,41.3623268,15.3115482
72,41.3623585,15.3113668
73,41.3623862,15.3116619
74,41.3625033,15.3118736
75,41.3625215,15.3112031
76,41.3625939,15.3120363
77,41.3627595,15.3116315
78,41.3628648,15.3118201
79,41.3629848,15.3121117
80,41.3588112,15.3043351
81,41.3588851,15.3040599
82,41.3591238,15.3046383
83,41.3592058,15.3061492
84,41.3592402,15.3033542
85,41.3592266,15.3043623
86,41.3593494,15.3052079
87,41.3597118,15.3054296
88,41.3598187,15.305668
89,41.3600034,15.304792
90,41.3601099,15.3050209
91,41.3602639,15.3043029
92,41.3603271,15.3066876
93,41.3604203,15.3068866
94,41.3605145,15.3070963
95,41.3605147,15.3054523
96,41.3605915,15.3051977
97,41.3607442,15.3051901
98,41.3609348,15.3065602
99,41.3610381,15.3080958
100,41.3611622,15.3067616
101,41.361784,15.3074804
102,41.3620893,15.3079939
103,41.3621164,15.3080635
104,41.3632365,15.3119036
105,41.3634543,15.31305
106,41.3634856,15.3114621
107,41.3635967,15.3115902
108,41.3639161,15.3123253
109,41.361827,15.3130483
110,41.362218,15.3134413
111,41.3622912,15.3131454
112,41.3624134,15.3091027
113,41.3627187,15.3100514
114,41.3632547,15.313992
115,41.3633011,15.3138187
116,41.3632952,15.3141595
117,41.3633735,15.3137568
118,41.3634672,15.3137137
119,41.3635891,15.313401
120,41.3637298,15.3147529
121,41.3638026,15.3129692
122,41.3638088,15.3140491
123,41.3638931,15.3131853
124,41.3640828,15.3130506
125,41.3642264,15.3123831
126,41.3646089,15.3178547
127,41.3566792,15.3015927
128,41.3582258,15.3027589
129,41.358377,15.3036292
130,41.3586189,15.3041708
131,41.3587908,15.3018186
132,41.358971,15.3017166
133,41.3595684,15.3081032
134,41.3665445,15.3236404
135,41.3664122,15.3236352
136,41.3600642,15.3075747
137,41.3636561,15.3136018
138,41.3613469,15.3061281
139,41.3665737,15.3242467
140,41.3660707,15.3250396
141,41.3573119,15.3027395
142,41.35989,15.3089627
143,41.3595164,15.3086235
144,41.3578716,15.3042139
145,41.3570673,15.3022586
146,41.3569054,15.3020537
147,41.366511,15.3235571
148,41.3697116,15.3211604
149,41.3683164,15.322258
150,41.3677594,15.3226888
151,41.3672059,15.3231122
152,41.3682198,15.3222736
153,41.3682406,15.3223176
154,41.3692265,15.321542
155,41.3687398,15.3233757
156,41.3672655,15.319566
157,41.3669408,15.3232528
158,41.3667199,15.3213923
159,41.3664988,15.3220869
160,41.3668822,15.3218237
161,41.3666282,15.3211484
162,41.3695028,15.3251156
163,41.3698584,15.3260665
164,41.3697298,15.3257167
165,41.3688958,15.3262536
166,41.3692567,15.3252651
167,41.3694794,15.3258778
168,41.368914,15.3254733
169,41.3691408,15.3260959
170,41.3681727,15.3238335
171,41.3677148,15.3242001
172,41.3596819,15.3048393
173,41.3601073,15.304561
174,41.3597661,15.3049634
175,41.3598885,15.305261
176,41.3598645,15.3083145
