node u,node v,length,label
1,9,141.03,0
2,1,202.89,0
3,4,9.55,0
3,2,350.08,0
4,25,169.32,0
5,22,178.76,0
5,21,116.47,0
6,13,29.69,0
7,18,65.90,0
8,18,480.65,0
8,7,30.15,0
9,36,406.23,0
10,46,114.57,0
10,31,21.13,0
12,7,16.53,0
12,10,50.23,0
14,26,53.47,0
15,5,74.20,0
17,21,128.47,0
18,14,536.23,0
19,20,274.30,0
19,3,230.57,0
22,12,62.20,0
23,40,27.61,0
23,14,153.33,0
24,34,17.51,0
25,47,132.84,0
26,41,20.30,0
26,44,98.93,0
27,23,1.37,0
27,13,69.32,0
28,38,51.60,0
28,49,118.64,0
29,30,99.63,0
30,11,21.89,0
31,32,129.72,0
31,17,61.68,0
33,15,5.60,0
34,33,185.64,0
34,35,61.89,0
35,22,11.67,0
39,25,65.86,0
40,42,19.70,0
41,19,26.89,0
41,45,93.21,0
42,4,122.72,0
43,44,16.14,0
44,40,77.09,0
44,45,17.71,0
45,42,73.45,0
46,30,212.26,0
46,17,92.71,0
47,15,169.32,0
48,49,81.98,0
49,16,35.01,0
50,33,93.79,0
28,13,201.05,1
27,6,201.05,1
6,38,201.05,1
