ID,latitudine,longitudine
1,41.4794366,15.1282253
2,41.4782533,15.1264277
3,41.4798185,15.126478
4,41.4797553,15.1264024
5,41.4755576,15.1249309
6,41.4792301,15.1243583
7,41.4761613,15.1224812
8,41.4759548,15.1222472
9,41.478459,15.1275874
10,41.4760454,15.1232161
11,41.4732208,15.1214999
12,41.4762207,15.1226631
13,41.4792804,15.1247083
14,41.4812106,15.1239715
15,41.4757884,15.1256678
16,41.4763871,15.1246268
17,41.4754144,15.1236551
18,41.4766744,15.1228608
19,41.481382,15.1249622
20,41.483588,15.1238135
21,41.4746284,15.1246658
22,41.4765459,15.1232702
23,41.4798998,15.1245243
24,41.4766333,15.1242987
25,41.4784228,15.1254942
26,41.4815195,15.1244522
27,41.4798878,15.1245208
28,41.4777386,15.124551
29,41.4739253,15.1212333
30,41.473411,15.1215675
31,41.4759379,15.1234194
32,41.4754157,15.1245667
33,41.4757997,15.1256023
34,41.4766157,15.1240899
35,41.4766327,15.1233489
36,41.4758143,15.1299062
37,41.4776498,15.1240411
38,41.4777473,15.1241217
39,41.4789996,15.1253598
40,41.4799637,15.124842
41,41.481504,15.1246886
42,41.480032,15.1250602
43,41.4806165,15.1244771
44,41.4806445,15.1246672
45,41.4806775,15.1248752
46,41.4751001,15.1226692
47,41.4772472,15.1254697
48,41.477082,15.1252909
49,41.4766792,15.1244757
50,41.4766335,15.1254585
