node u,node v,length,label
1,9,141.03,1
3,4,9.55,1
3,2,350.08,1
8,7,30.15,1
10,46,114.57,1
10,31,21.13,1
12,10,50.23,1
17,21,128.47,1
19,3,230.57,1
23,14,153.33,1
26,41,20.3,1
28,49,118.64,1
31,32,129.72,1
31,17,61.68,1
34,35,61.89,1
35,22,11.67,1
40,42,19.7,1
41,19,26.89,1
41,45,93.21,1
44,40,77.09,1
46,30,212.26,1
46,17,92.71,1
50,33,93.79,1
28,13,201.05,1
27,6,201.05,1
6,38,201.05,1
25,4,169.32,1
22,5,178.76,1
21,5,116.47,1
13,6,29.69,1
18,7,65.9,1
18,8,480.65,1
26,14,53.47,1
5,15,74.2,1
14,18,536.23,1
40,23,27.61,1
34,24,17.51,1
47,25,132.84,1
44,26,98.93,1
13,27,69.32,1
15,33,5.6,1
33,34,185.64,1
25,39,65.86,1
4,42,122.72,1
45,44,17.71,1
42,45,73.45,1
15,47,169.32,1
16,49,35.01,1
38,28,51.6,1
13,27,69.32,1
24,34,17.51,1
19,41,26.89,1
42,40,19.7,1
45,44,17.71,1
44,43,16.14,1
43,44,16.14,1
49,16,35.01,1
30,11,21.89,1
11,30,21.89,1
23,27,1.37,1
27,23,1.37,1
27,13,69.32,1
6,13,29.69,1
7,12,16.53,1
12,7,16.53,1
4,3,9.55,1
31,10,21.13,1
39,25,65.86,1
32,31,129.72,1
17,31,61.68,1
14,26,53.47,1
22,12,62.2,1
12,22,62.2,1
7,12,16.53,1
7,18,65.9,1
5,15,74.2,1
15,33,5.6,1
33,15,5.6,1
33,50,93.79,1
20,19,274.3,1
19,20,274.3,1
3,19,230.57,1
2,3,350.08,1
2,1,202.89,1
1,2,202.89,1
9,1,141.03,1
9,36,406.23,1
36,9,406.23,1
48,49,81.98,1
49,48,81.98,1
49,28,118.64,1
28,38,51.6,1
38,28,51.6,1
30,46,212.26,1
30,29,99.63,1
29,30,99.63,1
